State / Union Territory,Latitude,Longitude
Maharashtra,19.7515,75.7139
Kerala,10.8505,76.2711
Uttar Pradesh,26.8467,80.9462
Haryana,29.0588,76.0856
Karnataka,15.3173,75.7139
Delhi,28.7041,77.1025
Rajasthan,27.0238,74.2179
Tamil Nadu,11.1271,78.6569
Andhra Pradesh,15.9129,79.74
Odisha,20.9517,85.0985
Punjab,31.1471,75.3412
Uttarakhand,30.0668,79.0193
West Bengal ,22.9868,87.855
Gujarat,22.2587,71.1924
Chhattisgarh,21.2787,81.8661
Puducherry,11.9416,79.8083
Union Territory of Ladakh,34.2996,78.2932
Union Territory of Jammu and Kashmir ,33.7782,76.5762
Union Territory of Chandigarh ,30.7333,76.7794
Telengana,18.1124,79.0193
